Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AT3G10490	NAC	MP00612	Arabidopsis thaliana	ChIP-seq	SRA:SRX669382	SRX669382
AT3G10500	NAC	MP00343	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10500
AT3G10580	MYB_related	MP00344	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10580
AT3G10800	bZIP	MP00345	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10800
AT3G11020	ERF	MP00346	Arabidopsis thaliana	DAP	PMID:27203113	AT3G11020
AT3G11280	MYB	MP00347	Arabidopsis thaliana	DAP	PMID:27203113	AT3G11280
AT3G11440	MYB	MP00348	Arabidopsis thaliana	DAP	PMID:27203113	AT3G11440
AT3G12130	C3H	MP00113	Arabidopsis thaliana	ampDAP	PMID:27203113	AT3G12130
AT3G12250	bZIP	MP00349	Arabidopsis thaliana	DAP	PMID:27203113	AT3G12250
AT3G12720	MYB	MP00350	Arabidopsis thaliana	DAP	PMID:27203113	AT3G12720
AT3G12730	G2-like	MP00351	Arabidopsis thaliana	DAP	PMID:27203113	AT3G12730
AT3G12820	MYB	MP00352	Arabidopsis thaliana	DAP	PMID:27203113	AT3G12820
AT3G12910	NAC	MP00353	Arabidopsis thaliana	DAP	PMID:27203113	AT3G12910
AT3G13040	G2-like	MP00354	Arabidopsis thaliana	DAP	PMID:27203113	AT3G13040
AT3G13810	C2H2	MP00355	Arabidopsis thaliana	DAP	PMID:27203113	AT3G13810
AT3G14180	Trihelix	MP00356	Arabidopsis thaliana	DAP	PMID:27203113	AT3G14180
AT3G15030	TCP	MP00062	Arabidopsis thaliana	PBM	PMID:25215497	M1646_1.02
AT3G15170	NAC	MP00357	Arabidopsis thaliana	DAP	PMID:27203113	AT3G15170
AT3G15210	ERF	MP00358	Arabidopsis thaliana	DAP	PMID:27203113	AT3G15210
AT3G15270	SBP	MP00359	Arabidopsis thaliana	DAP	PMID:27203113	AT3G15270
AT3G15500	NAC	MP00360	Arabidopsis thaliana	DAP	PMID:27203113	AT3G15500
AT3G15510	NAC	MP00361	Arabidopsis thaliana	DAP	PMID:27203113	AT3G15510
AT3G16280	ERF	MP00362	Arabidopsis thaliana	DAP	PMID:27203113	AT3G16280
AT3G16770	ERF	MP00109	Arabidopsis thaliana	PBM	PMID:26531826	MA1051.1
AT3G17730	NAC	MP00363	Arabidopsis thaliana	DAP	PMID:27203113	AT3G17730
AT3G18400	NAC	MP00364	Arabidopsis thaliana	DAP	PMID:27203113	AT3G18400
AT3G20310	ERF	MP00366	Arabidopsis thaliana	DAP	PMID:27203113	AT3G20310
AT3G20770	EIL	MP00367	Arabidopsis thaliana	DAP	PMID:27203113	AT3G20770
AT3G20840	AP2	MP00368	Arabidopsis thaliana	DAP	PMID:27203113	AT3G20840
AT3G21175	GATA	MP00369	Arabidopsis thaliana	DAP	PMID:27203113	AT3G21175
AT3G22170	FAR1	MP00078	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0557.1
AT3G22760	CPP	MP00044	Arabidopsis thaliana	PBM	PMID:25215497	M0590_1.02
AT3G22780	CPP	MP00370	Arabidopsis thaliana	DAP	PMID:27203113	AT3G22780
AT3G22830	HSF	MP00371	Arabidopsis thaliana	DAP	PMID:27203113	AT3G22830
AT3G23210	bHLH	MP00372	Arabidopsis thaliana	DAP	PMID:27203113	AT3G23210
AT3G23220	ERF	MP00373	Arabidopsis thaliana	DAP	PMID:27203113	AT3G23220
AT3G23240	ERF	MP00374	Arabidopsis thaliana	DAP	PMID:27203113	AT3G23240
AT3G23250	MYB	MP00375	Arabidopsis thaliana	DAP	PMID:27203113	AT3G23250
AT3G23690	bHLH	MP00376	Arabidopsis thaliana	DAP	PMID:27203113	AT3G23690
AT3G24050	GATA	MP00377	Arabidopsis thaliana	DAP	PMID:27203113	AT3G24050
AT3G24120	G2-like	MP00378	Arabidopsis thaliana	DAP	PMID:27203113	AT3G24120
AT3G24520	HSF	MP00379	Arabidopsis thaliana	DAP	PMID:27203113	AT3G24520
AT3G24650	B3	MP00083	Arabidopsis thaliana	PBM	PMID:26531826	MA0564.1
AT3G25730	RAV	MP00031	Arabidopsis thaliana	PBM	PMID:25215497	M0081_1.02
AT3G25990	Trihelix	MP00380	Arabidopsis thaliana	DAP	PMID:27203113	AT3G25990
AT3G26620	LBD	MP00381	Arabidopsis thaliana	DAP	PMID:27203113	AT3G26620
AT3G26790	B3	MP00382	Arabidopsis thaliana	DAP	PMID:27203113	AT3G26790
AT3G27010	TCP	MP00384	Arabidopsis thaliana	DAP	PMID:27203113	AT3G27010
AT3G27785	MYB	MP00385	Arabidopsis thaliana	DAP	PMID:27203113	AT3G27785
AT3G28910	MYB	MP00386	Arabidopsis thaliana	DAP	PMID:27203113	AT3G28910
AT3G28920	ZF-HD	MP00387	Arabidopsis thaliana	DAP	PMID:27203113	AT3G28920
AT3G30210	MYB	MP00388	Arabidopsis thaliana	DAP	PMID:27203113	AT3G30210
AT3G30530	bZIP	MP00389	Arabidopsis thaliana	DAP	PMID:27203113	AT3G30530
AT3G45150	TCP	MP00390	Arabidopsis thaliana	DAP	PMID:27203113	AT3G45150
AT3G45170	GATA	MP00391	Arabidopsis thaliana	DAP	PMID:27203113	AT3G45170
AT3G45610	Dof	MP00392	Arabidopsis thaliana	DAP	PMID:27203113	AT3G45610
AT3G46070	C2H2	MP00393	Arabidopsis thaliana	DAP	PMID:27203113	AT3G46070
AT3G46090	C2H2	MP00041	Arabidopsis thaliana	PBM	PMID:25215497	M0373_1.02
AT3G46640	G2-like	MP00014	Arabidopsis thaliana	PBM	PMID:25378322	LUX
AT3G47500	Dof	MP00394	Arabidopsis thaliana	DAP	PMID:27203113	AT3G47500
AT3G47600	MYB	MP00395	Arabidopsis thaliana	DAP	PMID:27203113	AT3G47600
AT3G47620	TCP	MP00396	Arabidopsis thaliana	DAP	PMID:27203113	AT3G47620
AT3G48160	E2F/DP	MP00397	Arabidopsis thaliana	DAP	PMID:27203113	AT3G48160
AT3G48430	C2H2	MP00608	Arabidopsis thaliana	ChIP-seq	SRA:SRX1184290	SRX1184290
AT3G49530	NAC	MP00398	Arabidopsis thaliana	DAP	PMID:27203113	AT3G49530
AT3G49690	MYB	MP00089	Arabidopsis thaliana	SELEX	PMID:26531826	MA0576.1
AT3G49930	C2H2	MP00399	Arabidopsis thaliana	DAP	PMID:27203113	AT3G49930
AT3G50060	MYB	MP00400	Arabidopsis thaliana	DAP	PMID:27203113	AT3G50060
AT3G50260	ERF	MP00401	Arabidopsis thaliana	DAP	PMID:27203113	AT3G50260
AT3G50410	Dof	MP00402	Arabidopsis thaliana	DAP	PMID:27203113	AT3G50410
AT3G50700	C2H2	MP00403	Arabidopsis thaliana	DAP	PMID:27203113	AT3G50700
AT3G51060	SRS	MP00613	Arabidopsis thaliana	PBM	PMID:24477691	STY1
AT3G51080	GATA	MP00404	Arabidopsis thaliana	DAP	PMID:27203113	AT3G51080
AT3G52440	Dof	MP00405	Arabidopsis thaliana	DAP	PMID:27203113	AT3G52440
AT3G53200	MYB	MP00406	Arabidopsis thaliana	DAP	PMID:27203113	AT3G53200
AT3G54340	MIKC_MADS	MP00077	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0556.1
AT3G54990	AP2	MP00075	Arabidopsis thaliana	ChIP-chip	PMID:26531826	MA0553.1
AT3G55370	Dof	MP00407	Arabidopsis thaliana	DAP	PMID:27203113	AT3G55370
AT3G56400	WRKY	MP00408	Arabidopsis thaliana	DAP	PMID:27203113	AT3G56400
AT3G56850	bZIP	MP00409	Arabidopsis thaliana	DAP	PMID:27203113	AT3G56850
AT3G57230	MIKC_MADS	MP00410	Arabidopsis thaliana	DAP	PMID:27203113	AT3G57230
AT3G57600	ERF	MP00411	Arabidopsis thaliana	DAP	PMID:27203113	AT3G57600
AT3G57920	SBP	MP00412	Arabidopsis thaliana	DAP	PMID:27203113	AT3G57920
AT3G58630	Trihelix	MP00413	Arabidopsis thaliana	DAP	PMID:27203113	AT3G58630
AT3G58780	MIKC_MADS	MP00093	Arabidopsis thaliana	SELEX	PMID:26531826	MA0585.1
AT3G59060	bHLH	MP00082	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0562.1
AT3G60030	SBP	MP00060	Arabidopsis thaliana	PBM	PMID:25215497	M1566_1.02
AT3G60490	ERF	MP00414	Arabidopsis thaliana	DAP	PMID:27203113	AT3G60490
AT3G60530	GATA	MP00415	Arabidopsis thaliana	DAP	PMID:27203113	AT3G60530
AT3G60580	C2H2	MP00416	Arabidopsis thaliana	DAP	PMID:27203113	AT3G60580
AT3G61120	MIKC_MADS	MP00417	Arabidopsis thaliana	DAP	PMID:27203113	AT3G61120
AT3G61150	HD-ZIP	MP00418	Arabidopsis thaliana	DAP	PMID:27203113	AT3G61150
AT3G61250	MYB	MP00114	Arabidopsis thaliana	ampDAP	PMID:27203113	AT3G61250
AT3G61890	HD-ZIP	MP00013	Arabidopsis thaliana	PBM	PMID:24477691	ATHB12
AT3G61910	NAC	MP00015	Arabidopsis thaliana	PBM	PMID:25378322	NST2
AT3G62420	bZIP	MP00419	Arabidopsis thaliana	DAP	PMID:27203113	AT3G62420
AT4G00050	bHLH	MP00034	Arabidopsis thaliana	PBM	PMID:25215497	M0158_1.02
AT4G00250	GeBP	MP00420	Arabidopsis thaliana	DAP	PMID:27203113	AT4G00250
AT4G00270	GeBP	MP00061	Arabidopsis thaliana	PBM	PMID:25215497	M1620_1.02
AT4G00730	HD-ZIP	MP00421	Arabidopsis thaliana	DAP	PMID:27203113	AT4G00730
AT4G01250	WRKY	MP00422	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01250
AT4G01280	MYB_related	MP00423	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01280
AT4G01500	B3	MP00424	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01500
AT4G01540	NAC	MP00425	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01540
AT4G01550	NAC	MP00426	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01550
AT4G01680	MYB	MP00427	Arabidopsis thaliana	DAP	PMID:27203113	AT4G01680
AT4G01720	WRKY	MP00115	Arabidopsis thaliana	ampDAP	PMID:27203113	AT4G01720
AT4G04450	WRKY	MP00428	Arabidopsis thaliana	DAP	PMID:27203113	AT4G04450
AT4G05100	MYB	MP00429	Arabidopsis thaliana	DAP	PMID:27203113	AT4G05100
AT4G06746	ERF	MP00430	Arabidopsis thaliana	DAP	PMID:27203113	AT4G06746
AT4G10350	NAC	MP00431	Arabidopsis thaliana	DAP	PMID:27203113	AT4G10350
AT4G11660	HSF	MP00432	Arabidopsis thaliana	DAP	PMID:27203113	AT4G11660
AT4G14410	bHLH	MP00102	Arabidopsis thaliana	PBM	PMID:26531826	MA0960.1
AT4G14770	CPP	MP00433	Arabidopsis thaliana	DAP	PMID:27203113	AT4G14770
AT4G15090	FAR1	MP00434	Arabidopsis thaliana	DAP	PMID:27203113	AT4G15090
AT4G16110	ARR-B	MP00054	Arabidopsis thaliana	PBM	PMID:25215497	M1331_1.02
AT4G16150	CAMTA	MP00435	Arabidopsis thaliana	DAP	PMID:27203113	AT4G16150
AT4G16430	bHLH	MP00099	Arabidopsis thaliana	PBM	PMID:26531826	MA0957.1
AT4G16750	ERF	MP00436	Arabidopsis thaliana	DAP	PMID:27203113	AT4G16750
AT4G17460	HD-ZIP	MP00050	Arabidopsis thaliana	PBM	PMID:25215497	M0851_1.02
AT4G17490	ERF	MP00437	Arabidopsis thaliana	DAP	PMID:27203113	AT4G17490
AT4G17785	MYB	MP00438	Arabidopsis thaliana	DAP	PMID:27203113	AT4G17785
AT4G17880	bHLH	MP00086	Arabidopsis thaliana	PBM	PMID:26531826	MA0569.1
AT4G17980	NAC	MP00439	Arabidopsis thaliana	DAP	PMID:27203113	AT4G17980
AT4G18170	WRKY	MP00440	Arabidopsis thaliana	DAP	PMID:27203113	AT4G18170
AT4G18390	TCP	MP00063	Arabidopsis thaliana	PBM	PMID:25215497	M1648_1.02
AT4G18450	ERF	MP00441	Arabidopsis thaliana	DAP	PMID:27203113	AT4G18450
AT4G18770	MYB	MP00442	Arabidopsis thaliana	DAP	PMID:27203113	AT4G18770
AT4G18880	HSF	MP00443	Arabidopsis thaliana	DAP	PMID:27203113	AT4G18880
AT4G18890	BES1	MP00444	Arabidopsis thaliana	DAP	PMID:27203113	AT4G18890
AT4G18960	MIKC_MADS	MP00609	Arabidopsis thaliana	ChIP-seq	SRA:SRX263744	SRX263744
AT4G21030	Dof	MP00445	Arabidopsis thaliana	DAP	PMID:27203113	AT4G21030
AT4G21040	Dof	MP00116	Arabidopsis thaliana	ampDAP	PMID:27203113	AT4G21040
AT4G21080	Dof	MP00446	Arabidopsis thaliana	DAP	PMID:27203113	AT4G21080
AT4G21330	bHLH	MP00091	Arabidopsis thaliana	SELEX	PMID:26531826	MA0580.1
AT4G22070	WRKY	MP00447	Arabidopsis thaliana	DAP	PMID:27203113	AT4G22070
AT4G23550	WRKY	MP00448	Arabidopsis thaliana	DAP	PMID:27203113	AT4G23550
AT4G23750	ERF	MP00027	Arabidopsis thaliana	PBM	PMID:25215497	M0029_1.02
AT4G24020	Nin-like	MP00449	Arabidopsis thaliana	DAP	PMID:27203113	AT4G24020
AT4G24240	WRKY	MP00450	Arabidopsis thaliana	DAP	PMID:27203113	AT4G24240
AT4G24470	GATA	MP00451	Arabidopsis thaliana	DAP	PMID:27203113	AT4G24470
AT4G25470	ERF	MP00452	Arabidopsis thaliana	DAP	PMID:27203113	AT4G25470
AT4G25480	ERF	MP00453	Arabidopsis thaliana	DAP	PMID:27203113	AT4G25480
AT4G25490	ERF	MP00454	Arabidopsis thaliana	DAP	PMID:27203113	AT4G25490
AT4G26640	WRKY	MP00455	Arabidopsis thaliana	DAP	PMID:27203113	AT4G26640
AT4G27950	ERF	MP00456	Arabidopsis thaliana	DAP	PMID:27203113	AT4G27950
AT4G28110	MYB	MP00457	Arabidopsis thaliana	DAP	PMID:27203113	AT4G28110
AT4G28140	ERF	MP00458	Arabidopsis thaliana	DAP	PMID:27203113	AT4G28140
AT4G28500	NAC	MP00459	Arabidopsis thaliana	DAP	PMID:27203113	AT4G28500
AT4G29000	CPP	MP00045	Arabidopsis thaliana	PBM	PMID:25215497	M0591_1.02
AT4G29230	NAC	MP00460	Arabidopsis thaliana	DAP	PMID:27203113	AT4G29230
AT4G30080	ARF	MP00461	Arabidopsis thaliana	DAP	PMID:27203113	AT4G30080
AT4G30980	bHLH	MP00462	Arabidopsis thaliana	DAP	PMID:27203113	AT4G30980
AT4G31060	ERF	MP00463	Arabidopsis thaliana	DAP	PMID:27203113	AT4G31060
AT4G31550	WRKY	MP00464	Arabidopsis thaliana	DAP	PMID:27203113	AT4G31550
AT4G31610	B3	MP00602	Arabidopsis thaliana	PBM	PMID:24477691	REM1
AT4G31800	WRKY	MP00465	Arabidopsis thaliana	DAP	PMID:27203113	AT4G31800
AT4G31920	ARR-B	MP00072	Arabidopsis thaliana	SELEX	PMID:26531826	MA0121.1
AT4G32730	MYB	MP00466	Arabidopsis thaliana	DAP	PMID:27203113	AT4G32730
AT4G32800	ERF	MP00467	Arabidopsis thaliana	DAP	PMID:27203113	AT4G32800
AT4G32890	GATA	MP00048	Arabidopsis thaliana	PBM	PMID:25215497	M0768_1.02
AT4G33280	B3	MP00468	Arabidopsis thaliana	DAP	PMID:27203113	AT4G33280
AT4G34000	bZIP	MP00038	Arabidopsis thaliana	PBM	PMID:25215497	M0267_1.02
AT4G34410	ERF	MP00469	Arabidopsis thaliana	DAP	PMID:27203113	AT4G34410
AT4G34590	bZIP	MP00470	Arabidopsis thaliana	DAP	PMID:27203113	AT4G34590
AT4G35550	WOX	MP00617	Arabidopsis thaliana	PBM	PMID:24477691	WOX13
AT4G35580	NAC	MP00108	Arabidopsis thaliana	PBM	PMID:26531826	MA1046.1
AT4G36160	NAC	MP00471	Arabidopsis thaliana	DAP	PMID:27203113	AT4G36160
AT4G36620	GATA	MP00472	Arabidopsis thaliana	DAP	PMID:27203113	AT4G36620
AT4G36730	bZIP	MP00039	Arabidopsis thaliana	PBM	PMID:25215497	M0268_1.02
AT4G36740	HD-ZIP	MP00473	Arabidopsis thaliana	DAP	PMID:27203113	AT4G36740
AT4G36780	BES1	MP00474	Arabidopsis thaliana	DAP	PMID:27203113	AT4G36780
AT4G36900	ERF	MP00020	Arabidopsis thaliana	PBM	PMID:24477691	DEAR4
AT4G36930	bHLH	MP00035	Arabidopsis thaliana	PBM	PMID:25215497	M0162_1.02
AT4G37180	G2-like	MP00475	Arabidopsis thaliana	DAP	PMID:27203113	AT4G37180
AT4G37260	MYB	MP00476	Arabidopsis thaliana	DAP	PMID:27203113	AT4G37260
AT4G37750	AP2	MP00088	Arabidopsis thaliana	SELEX	PMID:26531826	MA0571.1
AT4G37790	HD-ZIP	MP00477	Arabidopsis thaliana	DAP	PMID:27203113	AT4G37790
AT4G38000	Dof	MP00478	Arabidopsis thaliana	DAP	PMID:27203113	AT4G38000
AT4G38620	MYB	MP00479	Arabidopsis thaliana	DAP	PMID:27203113	AT4G38620
AT4G38910	BBR-BPC	MP00480	Arabidopsis thaliana	DAP	PMID:27203113	AT4G38910
AT4G40060	HD-ZIP	MP00051	Arabidopsis thaliana	PBM	PMID:25215497	M0854_1.02
AT5G01380	Trihelix	MP00481	Arabidopsis thaliana	DAP	PMID:27203113	AT5G01380
AT5G01900	WRKY	MP00070	Arabidopsis thaliana	PBM	PMID:25215497	M1695_1.02
AT5G02320	MYB	MP00482	Arabidopsis thaliana	DAP	PMID:27203113	AT5G02320
AT5G02460	Dof	MP00483	Arabidopsis thaliana	DAP	PMID:27203113	AT5G02460
AT5G02840	MYB_related	MP00484	Arabidopsis thaliana	DAP	PMID:27203113	AT5G02840
AT5G03150	C2H2	MP00485	Arabidopsis thaliana	DAP	PMID:27203113	AT5G03150
AT5G03790	HD-ZIP	MP00486	Arabidopsis thaliana	DAP	PMID:27203113	AT5G03790
AT5G04340	C2H2	MP00622	Arabidopsis thaliana	PBM	PMID:24477691	ZAT6
AT5G04390	C2H2	MP00487	Arabidopsis thaliana	DAP	PMID:27203113	AT5G04390
AT5G04410	NAC	MP00059	Arabidopsis thaliana	PBM	PMID:25215497	M1404_1.02
AT5G04760	MYB	MP00055	Arabidopsis thaliana	PBM	PMID:25215497	M1336_1.02
AT5G05090	G2-like	MP00056	Arabidopsis thaliana	PBM	PMID:25215497	M1337_1.02
AT5G05550	Trihelix	MP00488	Arabidopsis thaliana	DAP	PMID:27203113	AT5G05550
AT5G05790	MYB	MP00489	Arabidopsis thaliana	DAP	PMID:27203113	AT5G05790
AT5G06100	MYB	MP00490	Arabidopsis thaliana	DAP	PMID:27203113	AT5G06100
AT5G06839	bZIP	MP00491	Arabidopsis thaliana	DAP	PMID:27203113	AT5G06839
AT5G06950	bZIP	MP00492	Arabidopsis thaliana	DAP	PMID:27203113	AT5G06950
AT5G06960	bZIP	MP00493	Arabidopsis thaliana	DAP	PMID:27203113	AT5G06960
AT5G07100	WRKY	MP00494	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07100
AT5G07310	ERF	MP00495	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07310
AT5G07680	NAC	MP00496	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07680
AT5G08070	TCP	MP00497	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08070
AT5G08130	bHLH	MP00498	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08130
AT5G08330	TCP	MP00499	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08330
AT5G08520	MYB	MP00500	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08520
AT5G09410	CAMTA	MP00501	Arabidopsis thaliana	DAP	PMID:27203113	AT5G09410
AT5G10030	bZIP	MP00502	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10030
AT5G10140	MIKC_MADS	MP00079	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0558.1
AT5G10280	MYB	MP00503	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10280
AT5G10510	AP2	MP00504	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10510
AT5G11260	bZIP	MP00117	Arabidopsis thaliana	ampDAP	PMID:27203113	AT5G11260
AT5G11510	MYB	MP00505	Arabidopsis thaliana	DAP	PMID:27203113	AT5G11510
AT5G12870	MYB	MP00599	Arabidopsis thaliana	PBM	PMID:24477691	MYB46
AT5G13080	WRKY	MP00506	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13080
AT5G13180	NAC	MP00507	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13180
AT5G13790	MIKC_MADS	MP00508	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13790
AT5G13910	ERF	MP00509	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13910
AT5G14340	MYB	MP00510	Arabidopsis thaliana	DAP	PMID:27203113	AT5G14340
AT5G14960	E2F/DP	MP00511	Arabidopsis thaliana	DAP	PMID:27203113	AT5G14960
AT5G15800	MIKC_MADS	MP00092	Arabidopsis thaliana	SELEX	PMID:26531826	MA0584.1
AT5G15830	bZIP	MP00512	Arabidopsis thaliana	DAP	PMID:27203113	AT5G15830
AT5G16600	MYB	MP00513	Arabidopsis thaliana	DAP	PMID:27203113	AT5G16600
AT5G16820	HSF	MP00514	Arabidopsis thaliana	DAP	PMID:27203113	AT5G16820
AT5G17300	MYB_related	MP00515	Arabidopsis thaliana	DAP	PMID:27203113	AT5G17300
AT5G17430	AP2	MP00610	Arabidopsis thaliana	ChIP-seq	SRA:SRX377734	SRX377734
AT5G17800	MYB	MP00516	Arabidopsis thaliana	DAP	PMID:27203113	AT5G17800
AT5G18090	B3	MP00517	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18090
AT5G18270	NAC	MP00518	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18270
AT5G18450	ERF	MP00519	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18450
AT5G18560	ERF	MP00520	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18560
AT5G18830	SBP	MP00604	Arabidopsis thaliana	PBM	PMID:24477691	SPL7
AT5G19790	ERF	MP00521	Arabidopsis thaliana	DAP	PMID:27203113	AT5G19790
AT5G20240	MIKC_MADS	MP00080	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0559.1
AT5G22220	E2F/DP	MP00661	Arabidopsis thaliana	PBM	PlantTFDB	transfer from Pp3c1_6880(Physcomitrella patens)
AT5G22570	WRKY	MP00619	Arabidopsis thaliana	PBM	PMID:24477691	WRKY38
AT5G22890	C2H2	MP00522	Arabidopsis thaliana	DAP	PMID:27203113	AT5G22890
AT5G22990	C2H2	MP00523	Arabidopsis thaliana	DAP	PMID:27203113	AT5G22990
AT5G23280	TCP	MP00524	Arabidopsis thaliana	DAP	PMID:27203113	AT5G23280
AT5G24110	WRKY	MP00525	Arabidopsis thaliana	DAP	PMID:27203113	AT5G24110
AT5G25190	ERF	MP00526	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25190
AT5G25390	ERF	MP00527	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25390
AT5G25475	B3	MP00528	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25475
AT5G25810	ERF	MP00529	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25810
AT5G25830	GATA	MP00530	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25830
AT5G26170	WRKY	MP00531	Arabidopsis thaliana	DAP	PMID:27203113	AT5G26170
AT5G28300	Trihelix	MP00011	Arabidopsis thaliana	PBM	PMID:24477691	At5g28300
AT5G28770	bZIP	MP00040	Arabidopsis thaliana	PBM	PMID:25215497	M0272_1.02
AT5G29000	G2-like	MP00532	Arabidopsis thaliana	DAP	PMID:27203113	AT5G29000
AT5G37020	ARF	MP00033	Arabidopsis thaliana	PBM	PMID:25215497	M0147_1.02
AT5G38800	bZIP	MP00533	Arabidopsis thaliana	DAP	PMID:27203113	AT5G38800
AT5G38860	bHLH	MP00534	Arabidopsis thaliana	DAP	PMID:27203113	AT5G38860
AT5G39610	NAC	MP00535	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39610
AT5G39660	Dof	MP00046	Arabidopsis thaliana	PBM	PMID:25215497	M0653_1.02
AT5G39760	ZF-HD	MP00536	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39760
AT5G39820	NAC	MP00537	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39820
AT5G40330	MYB	MP00538	Arabidopsis thaliana	DAP	PMID:27203113	AT5G40330
AT5G41570	WRKY	MP00539	Arabidopsis thaliana	DAP	PMID:27203113	AT5G41570
AT5G42520	BBR-BPC	MP00540	Arabidopsis thaliana	DAP	PMID:27203113	AT5G42520
AT5G42630	G2-like	MP00107	Arabidopsis thaliana	PBM	PMID:26531826	MA1028.1
AT5G43410	ERF	MP00029	Arabidopsis thaliana	PBM	PMID:25215497	M0037_1.02
AT5G43840	HSF	MP00541	Arabidopsis thaliana	DAP	PMID:27203113	AT5G43840
AT5G44210	ERF	MP00542	Arabidopsis thaliana	DAP	PMID:27203113	AT5G44210
AT5G45300	BES1	MP00543	Arabidopsis thaliana	DAP	PMID:27203113	AT5G45300
AT5G45580	G2-like	MP00544	Arabidopsis thaliana	DAP	PMID:27203113	AT5G45580
AT5G46350	WRKY	MP00545	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46350
AT5G46590	NAC	MP00546	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46590
AT5G46760	bHLH	MP00085	Arabidopsis thaliana	PBM	PMID:26531826	MA0568.1
AT5G46830	bHLH	MP00547	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46830
AT5G47220	ERF	MP00548	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47220
AT5G47230	ERF	MP00549	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47230
AT5G47370	HD-ZIP	MP00550	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47370
AT5G47390	MYB_related	MP00551	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47390
AT5G47660	Trihelix	MP00552	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47660
AT5G48560	bHLH	MP00036	Arabidopsis thaliana	PBM	PMID:25215497	M0166_1.02
AT5G48670	M-type_MADS	MP00553	Arabidopsis thaliana	DAP	PMID:27203113	AT5G48670
AT5G49300	GATA	MP00554	Arabidopsis thaliana	DAP	PMID:27203113	AT5G49300
AT5G49330	MYB	MP00598	Arabidopsis thaliana	PBM	PMID:24477691	MYB111
AT5G50570	SBP	MP00555	Arabidopsis thaliana	DAP	PMID:27203113	AT5G50570
AT5G51190	ERF	MP00556	Arabidopsis thaliana	DAP	PMID:27203113	AT5G51190
AT5G51910	TCP	MP00064	Arabidopsis thaliana	PBM	PMID:25215497	M1649_1.02
AT5G51990	ERF	MP00557	Arabidopsis thaliana	DAP	PMID:27203113	AT5G51990
AT5G52020	ERF	MP00558	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52020
AT5G52170	HD-ZIP	MP00559	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52170
AT5G52660	MYB_related	MP00560	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52660
AT5G52830	WRKY	MP00561	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52830
AT5G53950	NAC	MP00562	Arabidopsis thaliana	DAP	PMID:27203113	AT5G53950
AT5G54230	MYB	MP00563	Arabidopsis thaliana	DAP	PMID:27203113	AT5G54230
AT5G56110	MYB	MP00564	Arabidopsis thaliana	DAP	PMID:27203113	AT5G56110
